cluster,band,central_frequency,boresight_position,beam_x_deg,beam_y_deg,beam_angle,date,nantennas_requested,overlap,region,beams_required
NGC_6752,UHF,816000000.0,19:10:52.11 -59:59:04.40,0.00025557916312079956,0.00014562913897046858,-13.857258644429109,2023-05-15 19:37:05.389000,60,0.99,twice_half_light_radius,99997
NGC_6752,UHF,816000000.0,19:10:52.11 -59:59:04.40,0.00021144987091925712,9.240868487149414e-05,-10.885928163396759,2023-05-15 19:37:05.389000,64,0.99,core,389
NGC_6752,UHF,816000000.0,19:10:52.11 -59:59:04.40,0.00021144987091925712,9.240868487149414e-05,-10.885928163396759,2023-05-15 19:37:05.389000,64,0.99,half_light,49999
NGC_6752,UHF,816000000.0,19:10:52.11 -59:59:04.40,0.00021144987091925712,9.240868487149414e-05,-10.885928163396759,2023-05-15 19:37:05.389000,64,0.99,twice_half_light_radius,99999
NGC_6752,LBAND,1284000000.0,19:10:52.11 -59:59:04.40,0.02037714781838556,0.007291401549399853,-18.028846547593677,2023-05-15 19:37:05.389000,40,0.5,core,1
NGC_6752,LBAND,1284000000.0,19:10:52.11 -59:59:04.40,0.02037714781838556,0.007291401549399853,-18.028846547593677,2023-05-15 19:37:05.389000,40,0.5,half_light,11
NGC_6752,LBAND,1284000000.0,19:10:52.11 -59:59:04.40,0.02037714781838556,0.007291401549399853,-18.028846547593677,2023-05-15 19:37:05.389000,40,0.5,twice_half_light_radius,47
NGC_6752,LBAND,1284000000.0,19:10:52.11 -59:59:04.40,0.013840094637483995,0.004167664435328131,-23.226061695317,2023-05-15 19:37:05.389000,52,0.5,core,1
NGC_6752,LBAND,1284000000.0,19:10:52.11 -59:59:04.40,0.013840094637483995,0.004167664435328131,-23.226061695317,2023-05-15 19:37:05.389000,52,0.5,half_light,23
NGC_6752,LBAND,1284000000.0,19:10:52.11 -59:59:04.40,0.013840094637483995,0.004167664435328131,-23.226061695317,2023-05-15 19:37:05.389000,52,0.5,twice_half_light_radius,97
NGC_6752,LBAND,1284000000.0,19:10:52.11 -59:59:04.40,0.011727865790362094,0.003168670423642645,-21.45009103523514,2023-05-15 19:37:05.389000,56,0.5,core,1
NGC_6752,LBAND,1284000000.0,19:10:52.11 -59:59:04.40,0.011727865790362094,0.003168670423642645,-21.45009103523514,2023-05-15 19:37:05.389000,56,0.5,half_light,47
NGC_6752,LBAND,1284000000.0,19:10:52.11 -59:59:04.40,0.011727865790362094,0.003168670423642645,-21.45009103523514,2023-05-15 19:37:05.389000,56,0.5,twice_half_light_radius,195
NGC_6752,LBAND,1284000000.0,19:10:52.11 -59:59:04.40,0.008707194930332595,0.002969208895812277,-21.608308521724794,2023-05-15 19:37:05.389000,60,0.5,core,1
NGC_6752,LBAND,1284000000.0,19:10:52.11 -59:59:04.40,0.008707194930332595,0.002969208895812277,-21.608308521724794,2023-05-15 19:37:05.389000,60,0.5,half_light,47
NGC_6752,LBAND,1284000000.0,19:10:52.11 -59:59:04.40,0.008707194930332595,0.002969208895812277,-21.608308521724794,2023-05-15 19:37:05.389000,60,0.5,twice_half_light_radius,195
NGC_6752,LBAND,1284000000.0,19:10:52.11 -59:59:04.40,0.006984923906370066,0.0021081775442721193,-23.687238459905902,2023-05-15 19:37:05.389000,64,0.5,core,1
NGC_6752,LBAND,1284000000.0,19:10:52.11 -59:59:04.40,0.006984923906370066,0.0021081775442721193,-23.687238459905902,2023-05-15 19:37:05.389000,64,0.5,half_light,97
