CLUSTER: M30
BAND: LBAND
Central_freq: 1284000000.0
Boresight: 21:40:22.12  -23:10:47.5
Beam_x_deg: 0.001243853353496198
Beam_y_deg: 0.0006649084890006459
Beam_angle: -10.812910169516986
Overlap: 0.9
DATE: 2023-05-15 23:43:00
PROJECT: COMPACT

Beam	RA	DEC
cfbf0278	21:40:24.75	-23:09:58.37
cfbf0279	21:40:17.73	-23:10:16.85
cfbf0280	21:40:22.68	-23:11:28.22
cfbf0281	21:40:22.05	-23:11:29.90
cfbf0282	21:40:23.32	-23:11:26.54
cfbf0283	21:40:21.41	-23:11:31.58
cfbf0284	21:40:23.96	-23:11:24.86
cfbf0285	21:40:20.77	-23:11:33.26
cfbf0286	21:40:24.60	-23:11:23.18
cfbf0287	21:40:20.13	-23:11:34.94
cfbf0288	21:40:25.24	-23:11:21.50
cfbf0289	21:40:19.49	-23:11:36.62
cfbf0290	21:40:25.87	-23:11:19.82
cfbf0291	21:40:26.51	-23:11:18.14
cfbf0292	21:40:21.18	-23:10:03.54
cfbf0293	21:40:21.82	-23:10:01.86
cfbf0294	21:40:20.54	-23:10:05.22
cfbf0295	21:40:22.46	-23:10:00.18
cfbf0296	21:40:19.90	-23:10:06.90
cfbf0297	21:40:23.09	-23:09:58.50
cfbf0298	21:40:19.27	-23:10:08.58
cfbf0299	21:40:23.73	-23:09:56.82
cfbf0300	21:40:18.63	-23:10:10.26
cfbf0301	21:40:24.37	-23:09:55.14
cfbf0302	21:40:17.99	-23:10:11.94
cfbf0303	21:40:22.42	-23:11:33.14
cfbf0304	21:40:23.06	-23:11:31.46
cfbf0305	21:40:21.78	-23:11:34.82
cfbf0306	21:40:23.70	-23:11:29.78
cfbf0307	21:40:21.15	-23:11:36.50
cfbf0308	21:40:24.34	-23:11:28.09
cfbf0309	21:40:20.51	-23:11:38.18
cfbf0310	21:40:24.97	-23:11:26.41
cfbf0311	21:40:19.87	-23:11:39.86
cfbf0312	21:40:25.61	-23:11:24.73
cfbf0313	21:40:26.25	-23:11:23.05
cfbf0314	21:40:21.44	-23:09:58.63
cfbf0315	21:40:20.81	-23:10:00.31
cfbf0316	21:40:22.08	-23:09:56.95
cfbf0317	21:40:20.17	-23:10:01.99
cfbf0318	21:40:22.72	-23:09:55.27
cfbf0319	21:40:19.53	-23:10:03.67
cfbf0320	21:40:23.36	-23:09:53.59
cfbf0321	21:40:18.89	-23:10:05.35
cfbf0322	21:40:23.99	-23:09:51.91
cfbf0323	21:40:18.25	-23:10:07.03
cfbf0324	21:40:22.80	-23:11:36.37
cfbf0325	21:40:22.16	-23:11:38.05
cfbf0326	21:40:23.43	-23:11:34.69
cfbf0327	21:40:21.52	-23:11:39.73
cfbf0328	21:40:24.07	-23:11:33.01
cfbf0329	21:40:20.88	-23:11:41.41
cfbf0330	21:40:24.71	-23:11:31.33
cfbf0331	21:40:20.24	-23:11:43.09
cfbf0332	21:40:25.35	-23:11:29.65
cfbf0333	21:40:25.99	-23:11:27.96
cfbf0334	21:40:21.07	-23:09:55.40
cfbf0335	21:40:21.71	-23:09:53.72
cfbf0336	21:40:20.43	-23:09:57.08
cfbf0337	21:40:22.34	-23:09:52.04
cfbf0338	21:40:19.79	-23:09:58.76
cfbf0339	21:40:22.98	-23:09:50.36
cfbf0340	21:40:19.15	-23:10:00.44
cfbf0341	21:40:23.62	-23:09:48.68
cfbf0342	21:40:22.53	-23:11:41.28
cfbf0343	21:40:23.17	-23:11:39.60
cfbf0344	21:40:21.90	-23:11:42.96
cfbf0345	21:40:23.81	-23:11:37.92
cfbf0346	21:40:21.26	-23:11:44.64
cfbf0347	21:40:24.45	-23:11:36.24
cfbf0348	21:40:20.62	-23:11:46.32
cfbf0349	21:40:25.09	-23:11:34.56
cfbf0350	21:40:21.33	-23:09:50.49
cfbf0351	21:40:20.69	-23:09:52.17
cfbf0352	21:40:21.97	-23:09:48.81
cfbf0353	21:40:20.05	-23:09:53.85
cfbf0354	21:40:22.61	-23:09:47.13
cfbf0355	21:40:23.24	-23:09:45.45
cfbf0356	21:40:22.91	-23:11:44.51
cfbf0357	21:40:22.27	-23:11:46.19
cfbf0358	21:40:23.55	-23:11:42.83
cfbf0359	21:40:21.63	-23:11:47.87
cfbf0360	21:40:24.19	-23:11:41.15
cfbf0361	21:40:21.00	-23:11:49.55
cfbf0362	21:40:20.96	-23:09:47.25
cfbf0363	21:40:21.59	-23:09:45.57
cfbf0364	21:40:20.32	-23:09:48.93
cfbf0365	21:40:22.23	-23:09:43.89
cfbf0366	21:40:22.87	-23:09:42.21
cfbf0367	21:40:22.65	-23:11:49.43
cfbf0368	21:40:23.29	-23:11:47.74
cfbf0369	21:40:22.01	-23:11:51.11
cfbf0370	21:40:23.92	-23:11:46.06
cfbf0371	21:40:21.37	-23:11:52.79
cfbf0372	21:40:21.22	-23:09:42.34
cfbf0373	21:40:21.86	-23:09:40.66
cfbf0374	21:40:22.49	-23:09:38.98
cfbf0375	21:40:23.02	-23:11:52.66
cfbf0376	21:40:22.38	-23:11:54.34
cfbf0377	21:40:21.75	-23:11:56.02
cfbf0378	21:40:22.12	-23:09:35.75
cfbf0379	21:40:22.12	-23:11:59.25
