CLUSTER: M30
BAND: LBAND
Central_freq: 1284000000.0
Boresight: 21:40:22.12  -23:10:47.5
Beam_x_deg: 0.0006219266767480983
Beam_y_deg: 0.00033245424450032264
Beam_angle: -10.812910169516986
Overlap: 0.95
DATE: 2023-05-15 23:43:00
PROJECT: COMPACT

Beam	RA	DEC
cfbf0570	21:40:24.32	-23:11:02.82
cfbf0571	21:40:20.17	-23:11:13.74
cfbf0572	21:40:24.63	-23:11:01.98
cfbf0573	21:40:19.85	-23:11:14.58
cfbf0574	21:40:24.95	-23:11:01.14
cfbf0575	21:40:19.53	-23:11:15.42
cfbf0576	21:40:25.27	-23:11:00.30
cfbf0577	21:40:19.21	-23:11:16.26
cfbf0578	21:40:25.59	-23:10:59.46
cfbf0579	21:40:18.89	-23:11:17.10
cfbf0580	21:40:25.91	-23:10:58.62
cfbf0581	21:40:18.57	-23:11:17.94
cfbf0582	21:40:26.23	-23:10:57.78
cfbf0583	21:40:18.26	-23:11:18.78
cfbf0584	21:40:26.55	-23:10:56.94
cfbf0585	21:40:17.94	-23:11:19.62
cfbf0586	21:40:21.65	-23:10:25.52
cfbf0587	21:40:21.97	-23:10:24.68
cfbf0588	21:40:21.33	-23:10:26.36
cfbf0589	21:40:22.29	-23:10:23.84
cfbf0590	21:40:21.01	-23:10:27.20
cfbf0591	21:40:22.61	-23:10:23.00
cfbf0592	21:40:20.69	-23:10:28.04
cfbf0593	21:40:22.93	-23:10:22.16
cfbf0594	21:40:20.37	-23:10:28.88
cfbf0595	21:40:23.25	-23:10:21.32
cfbf0596	21:40:20.06	-23:10:29.72
cfbf0597	21:40:23.56	-23:10:20.48
cfbf0598	21:40:19.74	-23:10:30.56
cfbf0599	21:40:23.88	-23:10:19.64
cfbf0600	21:40:19.42	-23:10:31.40
cfbf0601	21:40:24.20	-23:10:18.80
cfbf0602	21:40:19.10	-23:10:32.24
cfbf0603	21:40:24.52	-23:10:17.96
cfbf0604	21:40:18.78	-23:10:33.08
cfbf0605	21:40:24.84	-23:10:17.12
cfbf0606	21:40:18.46	-23:10:33.92
cfbf0607	21:40:25.16	-23:10:16.28
cfbf0608	21:40:18.14	-23:10:34.76
cfbf0609	21:40:25.48	-23:10:15.44
cfbf0610	21:40:17.82	-23:10:35.60
cfbf0611	21:40:25.80	-23:10:14.60
cfbf0612	21:40:26.12	-23:10:13.76
cfbf0613	21:40:26.43	-23:10:12.92
cfbf0614	21:40:22.27	-23:11:10.32
cfbf0615	21:40:22.59	-23:11:09.48
cfbf0616	21:40:21.95	-23:11:11.16
cfbf0617	21:40:22.91	-23:11:08.64
cfbf0618	21:40:21.63	-23:11:12.00
cfbf0619	21:40:23.23	-23:11:07.80
cfbf0620	21:40:21.31	-23:11:12.84
cfbf0621	21:40:23.55	-23:11:06.96
cfbf0622	21:40:20.99	-23:11:13.68
cfbf0623	21:40:23.87	-23:11:06.12
cfbf0624	21:40:20.68	-23:11:14.52
cfbf0625	21:40:24.18	-23:11:05.28
cfbf0626	21:40:20.36	-23:11:15.36
cfbf0627	21:40:24.50	-23:11:04.44
cfbf0628	21:40:20.04	-23:11:16.20
cfbf0629	21:40:24.82	-23:11:03.60
cfbf0630	21:40:19.72	-23:11:17.04
cfbf0631	21:40:25.14	-23:11:02.76
cfbf0632	21:40:19.40	-23:11:17.88
cfbf0633	21:40:25.46	-23:11:01.92
cfbf0634	21:40:19.08	-23:11:18.72
cfbf0635	21:40:25.78	-23:11:01.07
cfbf0636	21:40:18.76	-23:11:19.56
cfbf0637	21:40:26.10	-23:11:00.23
cfbf0638	21:40:18.44	-23:11:20.40
cfbf0639	21:40:26.42	-23:10:59.39
cfbf0640	21:40:18.12	-23:11:21.24
cfbf0641	21:40:17.80	-23:11:22.08
cfbf0642	21:40:21.78	-23:10:23.07
cfbf0643	21:40:21.46	-23:10:23.91
cfbf0644	21:40:22.10	-23:10:22.23
cfbf0645	21:40:21.14	-23:10:24.75
cfbf0646	21:40:22.42	-23:10:21.39
cfbf0647	21:40:20.82	-23:10:25.59
cfbf0648	21:40:22.74	-23:10:20.55
cfbf0649	21:40:20.51	-23:10:26.43
cfbf0650	21:40:23.06	-23:10:19.71
cfbf0651	21:40:20.19	-23:10:27.27
cfbf0652	21:40:23.38	-23:10:18.87
cfbf0653	21:40:19.87	-23:10:28.11
cfbf0654	21:40:23.70	-23:10:18.03
cfbf0655	21:40:19.55	-23:10:28.95
cfbf0656	21:40:24.01	-23:10:17.18
cfbf0657	21:40:19.23	-23:10:29.78
cfbf0658	21:40:24.33	-23:10:16.34
cfbf0659	21:40:18.91	-23:10:30.62
cfbf0660	21:40:24.65	-23:10:15.50
cfbf0661	21:40:18.59	-23:10:31.46
cfbf0662	21:40:24.97	-23:10:14.66
cfbf0663	21:40:18.27	-23:10:32.30
cfbf0664	21:40:25.29	-23:10:13.82
cfbf0665	21:40:17.95	-23:10:33.14
cfbf0666	21:40:25.61	-23:10:12.98
cfbf0667	21:40:25.93	-23:10:12.14
cfbf0668	21:40:26.25	-23:10:11.30
cfbf0669	21:40:22.46	-23:11:11.93
cfbf0670	21:40:22.14	-23:11:12.77
cfbf0671	21:40:22.78	-23:11:11.09
cfbf0672	21:40:21.82	-23:11:13.61
cfbf0673	21:40:23.10	-23:11:10.25
cfbf0674	21:40:21.50	-23:11:14.45
cfbf0675	21:40:23.42	-23:11:09.41
cfbf0676	21:40:21.18	-23:11:15.29
cfbf0677	21:40:23.73	-23:11:08.57
cfbf0678	21:40:20.86	-23:11:16.13
cfbf0679	21:40:24.05	-23:11:07.73
cfbf0680	21:40:20.54	-23:11:16.97
cfbf0681	21:40:24.37	-23:11:06.89
cfbf0682	21:40:20.23	-23:11:17.81
cfbf0683	21:40:24.69	-23:11:06.05
cfbf0684	21:40:19.91	-23:11:18.65
cfbf0685	21:40:25.01	-23:11:05.21
cfbf0686	21:40:19.59	-23:11:19.49
cfbf0687	21:40:25.33	-23:11:04.37
cfbf0688	21:40:19.27	-23:11:20.33
cfbf0689	21:40:25.65	-23:11:03.53
cfbf0690	21:40:18.95	-23:11:21.17
cfbf0691	21:40:25.97	-23:11:02.69
cfbf0692	21:40:18.63	-23:11:22.01
cfbf0693	21:40:26.29	-23:11:01.85
cfbf0694	21:40:18.31	-23:11:22.85
cfbf0695	21:40:17.99	-23:11:23.69
cfbf0696	21:40:21.59	-23:10:21.45
cfbf0697	21:40:21.91	-23:10:20.61
cfbf0698	21:40:21.27	-23:10:22.29
cfbf0699	21:40:22.23	-23:10:19.77
cfbf0700	21:40:20.96	-23:10:23.13
cfbf0701	21:40:22.55	-23:10:18.93
cfbf0702	21:40:20.64	-23:10:23.97
cfbf0703	21:40:22.87	-23:10:18.09
cfbf0704	21:40:20.32	-23:10:24.81
cfbf0705	21:40:23.19	-23:10:17.25
cfbf0706	21:40:20.00	-23:10:25.65
cfbf0707	21:40:23.51	-23:10:16.41
cfbf0708	21:40:19.68	-23:10:26.49
cfbf0709	21:40:23.83	-23:10:15.57
cfbf0710	21:40:19.36	-23:10:27.33
cfbf0711	21:40:24.15	-23:10:14.73
cfbf0712	21:40:19.04	-23:10:28.17
cfbf0713	21:40:24.46	-23:10:13.89
cfbf0714	21:40:18.72	-23:10:29.01
cfbf0715	21:40:24.78	-23:10:13.05
cfbf0716	21:40:18.40	-23:10:29.85
cfbf0717	21:40:25.10	-23:10:12.21
cfbf0718	21:40:18.09	-23:10:30.69
cfbf0719	21:40:25.42	-23:10:11.37
cfbf0720	21:40:17.77	-23:10:31.53
cfbf0721	21:40:25.74	-23:10:10.53
cfbf0722	21:40:26.06	-23:10:09.69
cfbf0723	21:40:22.33	-23:11:14.39
cfbf0724	21:40:22.65	-23:11:13.55
cfbf0725	21:40:22.01	-23:11:15.23
cfbf0726	21:40:22.97	-23:11:12.71
cfbf0727	21:40:21.69	-23:11:16.07
cfbf0728	21:40:23.28	-23:11:11.87
cfbf0729	21:40:21.37	-23:11:16.91
cfbf0730	21:40:23.60	-23:11:11.03
cfbf0731	21:40:21.05	-23:11:17.75
cfbf0732	21:40:23.92	-23:11:10.19
cfbf0733	21:40:20.73	-23:11:18.59
cfbf0734	21:40:24.24	-23:11:09.35
cfbf0735	21:40:20.41	-23:11:19.43
cfbf0736	21:40:24.56	-23:11:08.51
cfbf0737	21:40:20.09	-23:11:20.27
cfbf0738	21:40:24.88	-23:11:07.67
cfbf0739	21:40:19.78	-23:11:21.11
cfbf0740	21:40:25.20	-23:11:06.83
cfbf0741	21:40:19.46	-23:11:21.95
cfbf0742	21:40:25.52	-23:11:05.99
cfbf0743	21:40:19.14	-23:11:22.79
cfbf0744	21:40:25.84	-23:11:05.15
cfbf0745	21:40:18.82	-23:11:23.63
cfbf0746	21:40:26.15	-23:11:04.31
cfbf0747	21:40:18.50	-23:11:24.47
cfbf0748	21:40:26.47	-23:11:03.47
cfbf0749	21:40:18.18	-23:11:25.31
cfbf0750	21:40:21.73	-23:10:18.99
cfbf0751	21:40:21.41	-23:10:19.83
cfbf0752	21:40:22.04	-23:10:18.15
cfbf0753	21:40:21.09	-23:10:20.67
cfbf0754	21:40:22.36	-23:10:17.31
cfbf0755	21:40:20.77	-23:10:21.51
cfbf0756	21:40:22.68	-23:10:16.47
cfbf0757	21:40:20.45	-23:10:22.35
cfbf0758	21:40:23.00	-23:10:15.63
cfbf0759	21:40:20.13	-23:10:23.19
cfbf0760	21:40:23.32	-23:10:14.79
cfbf0761	21:40:19.81	-23:10:24.03
cfbf0762	21:40:23.64	-23:10:13.95
cfbf0763	21:40:19.49	-23:10:24.87
cfbf0764	21:40:23.96	-23:10:13.11
cfbf0765	21:40:19.17	-23:10:25.71
cfbf0766	21:40:24.28	-23:10:12.27
cfbf0767	21:40:18.85	-23:10:26.55
cfbf0768	21:40:24.60	-23:10:11.43
cfbf0769	21:40:18.54	-23:10:27.39
cfbf0770	21:40:24.91	-23:10:10.59
cfbf0771	21:40:18.22	-23:10:28.23
cfbf0772	21:40:25.23	-23:10:09.75
cfbf0773	21:40:17.90	-23:10:29.07
cfbf0774	21:40:25.55	-23:10:08.91
cfbf0775	21:40:25.87	-23:10:08.07
cfbf0776	21:40:22.51	-23:11:16.01
cfbf0777	21:40:22.20	-23:11:16.85
cfbf0778	21:40:22.83	-23:11:15.17
cfbf0779	21:40:21.88	-23:11:17.69
cfbf0780	21:40:23.15	-23:11:14.33
cfbf0781	21:40:21.56	-23:11:18.53
cfbf0782	21:40:23.47	-23:11:13.49
cfbf0783	21:40:21.24	-23:11:19.37
cfbf0784	21:40:23.79	-23:11:12.65
cfbf0785	21:40:20.92	-23:11:20.21
cfbf0786	21:40:24.11	-23:11:11.81
cfbf0787	21:40:20.60	-23:11:21.05
cfbf0788	21:40:24.43	-23:11:10.97
cfbf0789	21:40:20.28	-23:11:21.89
cfbf0790	21:40:24.75	-23:11:10.12
cfbf0791	21:40:19.96	-23:11:22.73
cfbf0792	21:40:25.07	-23:11:09.28
cfbf0793	21:40:19.64	-23:11:23.57
cfbf0794	21:40:25.39	-23:11:08.44
cfbf0795	21:40:19.32	-23:11:24.41
cfbf0796	21:40:25.70	-23:11:07.60
cfbf0797	21:40:19.01	-23:11:25.25
cfbf0798	21:40:26.02	-23:11:06.76
cfbf0799	21:40:18.69	-23:11:26.08
cfbf0800	21:40:26.34	-23:11:05.92
cfbf0801	21:40:18.37	-23:11:26.92
cfbf0802	21:40:21.54	-23:10:17.38
cfbf0803	21:40:21.86	-23:10:16.54
cfbf0804	21:40:21.22	-23:10:18.22
cfbf0805	21:40:22.18	-23:10:15.70
cfbf0806	21:40:20.90	-23:10:19.06
cfbf0807	21:40:22.49	-23:10:14.86
cfbf0808	21:40:20.58	-23:10:19.90
cfbf0809	21:40:22.81	-23:10:14.02
cfbf0810	21:40:20.26	-23:10:20.74
cfbf0811	21:40:23.13	-23:10:13.18
cfbf0812	21:40:19.94	-23:10:21.58
cfbf0813	21:40:23.45	-23:10:12.34
cfbf0814	21:40:19.62	-23:10:22.42
cfbf0815	21:40:23.77	-23:10:11.50
cfbf0816	21:40:19.30	-23:10:23.26
cfbf0817	21:40:24.09	-23:10:10.66
cfbf0818	21:40:18.99	-23:10:24.10
cfbf0819	21:40:24.41	-23:10:09.82
cfbf0820	21:40:18.67	-23:10:24.94
cfbf0821	21:40:24.73	-23:10:08.98
cfbf0822	21:40:18.35	-23:10:25.78
cfbf0823	21:40:25.05	-23:10:08.14
cfbf0824	21:40:18.03	-23:10:26.61
cfbf0825	21:40:25.36	-23:10:07.29
cfbf0826	21:40:17.71	-23:10:27.45
cfbf0827	21:40:25.68	-23:10:06.45
cfbf0828	21:40:22.38	-23:11:18.46
cfbf0829	21:40:22.70	-23:11:17.62
cfbf0830	21:40:22.06	-23:11:19.30
cfbf0831	21:40:23.02	-23:11:16.78
cfbf0832	21:40:21.75	-23:11:20.14
cfbf0833	21:40:23.34	-23:11:15.94
cfbf0834	21:40:21.43	-23:11:20.98
cfbf0835	21:40:23.66	-23:11:15.10
cfbf0836	21:40:21.11	-23:11:21.82
cfbf0837	21:40:23.98	-23:11:14.26
cfbf0838	21:40:20.79	-23:11:22.66
cfbf0839	21:40:24.30	-23:11:13.42
cfbf0840	21:40:20.47	-23:11:23.50
cfbf0841	21:40:24.62	-23:11:12.58
cfbf0842	21:40:20.15	-23:11:24.34
cfbf0843	21:40:24.94	-23:11:11.74
cfbf0844	21:40:19.83	-23:11:25.18
cfbf0845	21:40:25.25	-23:11:10.90
cfbf0846	21:40:19.51	-23:11:26.02
cfbf0847	21:40:25.57	-23:11:10.06
cfbf0848	21:40:19.19	-23:11:26.86
cfbf0849	21:40:25.89	-23:11:09.22
cfbf0850	21:40:18.87	-23:11:27.70
cfbf0851	21:40:26.21	-23:11:08.38
cfbf0852	21:40:18.56	-23:11:28.54
cfbf0853	21:40:26.53	-23:11:07.54
cfbf0854	21:40:21.67	-23:10:14.92
cfbf0855	21:40:21.35	-23:10:15.76
cfbf0856	21:40:21.99	-23:10:14.08
cfbf0857	21:40:21.03	-23:10:16.60
cfbf0858	21:40:22.31	-23:10:13.24
cfbf0859	21:40:20.71	-23:10:17.44
cfbf0860	21:40:22.63	-23:10:12.40
cfbf0861	21:40:20.39	-23:10:18.28
cfbf0862	21:40:22.94	-23:10:11.56
cfbf0863	21:40:20.07	-23:10:19.12
cfbf0864	21:40:23.26	-23:10:10.72
cfbf0865	21:40:19.76	-23:10:19.96
cfbf0866	21:40:23.58	-23:10:09.88
cfbf0867	21:40:19.44	-23:10:20.80
cfbf0868	21:40:23.90	-23:10:09.04
cfbf0869	21:40:19.12	-23:10:21.64
cfbf0870	21:40:24.22	-23:10:08.20
cfbf0871	21:40:18.80	-23:10:22.48
cfbf0872	21:40:24.54	-23:10:07.36
cfbf0873	21:40:18.48	-23:10:23.32
cfbf0874	21:40:24.86	-23:10:06.52
cfbf0875	21:40:18.16	-23:10:24.16
cfbf0876	21:40:25.18	-23:10:05.68
cfbf0877	21:40:17.84	-23:10:25.00
cfbf0878	21:40:25.50	-23:10:04.84
cfbf0879	21:40:22.57	-23:11:20.08
cfbf0880	21:40:22.25	-23:11:20.92
cfbf0881	21:40:22.89	-23:11:19.24
cfbf0882	21:40:21.93	-23:11:21.76
cfbf0883	21:40:23.21	-23:11:18.40
cfbf0884	21:40:21.61	-23:11:22.60
cfbf0885	21:40:23.53	-23:11:17.56
cfbf0886	21:40:21.30	-23:11:23.44
cfbf0887	21:40:23.85	-23:11:16.72
cfbf0888	21:40:20.98	-23:11:24.28
cfbf0889	21:40:24.17	-23:11:15.88
cfbf0890	21:40:20.66	-23:11:25.12
cfbf0891	21:40:24.49	-23:11:15.04
cfbf0892	21:40:20.34	-23:11:25.96
cfbf0893	21:40:24.80	-23:11:14.20
cfbf0894	21:40:20.02	-23:11:26.80
cfbf0895	21:40:25.12	-23:11:13.36
cfbf0896	21:40:19.70	-23:11:27.64
cfbf0897	21:40:25.44	-23:11:12.52
cfbf0898	21:40:19.38	-23:11:28.48
cfbf0899	21:40:25.76	-23:11:11.68
cfbf0900	21:40:19.06	-23:11:29.32
cfbf0901	21:40:26.08	-23:11:10.84
cfbf0902	21:40:18.74	-23:11:30.16
cfbf0903	21:40:26.40	-23:11:09.99
cfbf0904	21:40:21.48	-23:10:13.30
cfbf0905	21:40:21.80	-23:10:12.46
cfbf0906	21:40:21.16	-23:10:14.14
cfbf0907	21:40:22.12	-23:10:11.62
cfbf0908	21:40:20.84	-23:10:14.98
cfbf0909	21:40:22.44	-23:10:10.78
cfbf0910	21:40:20.52	-23:10:15.82
cfbf0911	21:40:22.76	-23:10:09.94
cfbf0912	21:40:20.21	-23:10:16.66
cfbf0913	21:40:23.08	-23:10:09.10
cfbf0914	21:40:19.89	-23:10:17.50
cfbf0915	21:40:23.39	-23:10:08.26
cfbf0916	21:40:19.57	-23:10:18.34
cfbf0917	21:40:23.71	-23:10:07.42
cfbf0918	21:40:19.25	-23:10:19.18
cfbf0919	21:40:24.03	-23:10:06.58
cfbf0920	21:40:18.93	-23:10:20.02
cfbf0921	21:40:24.35	-23:10:05.74
cfbf0922	21:40:18.61	-23:10:20.86
cfbf0923	21:40:24.67	-23:10:04.90
cfbf0924	21:40:18.29	-23:10:21.70
cfbf0925	21:40:24.99	-23:10:04.06
cfbf0926	21:40:17.97	-23:10:22.54
cfbf0927	21:40:25.31	-23:10:03.22
cfbf0928	21:40:22.44	-23:11:22.53
cfbf0929	21:40:22.76	-23:11:21.69
cfbf0930	21:40:22.12	-23:11:23.38
cfbf0931	21:40:23.08	-23:11:20.85
cfbf0932	21:40:21.80	-23:11:24.22
cfbf0933	21:40:23.40	-23:11:20.01
cfbf0934	21:40:21.48	-23:11:25.06
cfbf0935	21:40:23.72	-23:11:19.17
cfbf0936	21:40:21.16	-23:11:25.90
cfbf0937	21:40:24.03	-23:11:18.33
cfbf0938	21:40:20.84	-23:11:26.73
cfbf0939	21:40:24.35	-23:11:17.49
cfbf0940	21:40:20.53	-23:11:27.57
cfbf0941	21:40:24.67	-23:11:16.65
cfbf0942	21:40:20.21	-23:11:28.41
cfbf0943	21:40:24.99	-23:11:15.81
cfbf0944	21:40:19.89	-23:11:29.25
cfbf0945	21:40:25.31	-23:11:14.97
cfbf0946	21:40:19.57	-23:11:30.09
cfbf0947	21:40:25.63	-23:11:14.13
cfbf0948	21:40:19.25	-23:11:30.93
cfbf0949	21:40:25.95	-23:11:13.29
cfbf0950	21:40:18.93	-23:11:31.77
cfbf0951	21:40:26.27	-23:11:12.45
cfbf0952	21:40:21.61	-23:10:10.85
cfbf0953	21:40:21.29	-23:10:11.69
cfbf0954	21:40:21.93	-23:10:10.01
cfbf0955	21:40:20.97	-23:10:12.53
cfbf0956	21:40:22.25	-23:10:09.17
cfbf0957	21:40:20.66	-23:10:13.37
cfbf0958	21:40:22.57	-23:10:08.33
cfbf0959	21:40:20.34	-23:10:14.21
cfbf0960	21:40:22.89	-23:10:07.49
cfbf0961	21:40:20.02	-23:10:15.05
cfbf0962	21:40:23.21	-23:10:06.65
cfbf0963	21:40:19.70	-23:10:15.89
cfbf0964	21:40:23.53	-23:10:05.81
cfbf0965	21:40:19.38	-23:10:16.73
cfbf0966	21:40:23.85	-23:10:04.97
cfbf0967	21:40:19.06	-23:10:17.57
cfbf0968	21:40:24.16	-23:10:04.13
cfbf0969	21:40:18.74	-23:10:18.41
cfbf0970	21:40:24.48	-23:10:03.29
cfbf0971	21:40:18.42	-23:10:19.25
cfbf0972	21:40:24.80	-23:10:02.45
cfbf0973	21:40:18.10	-23:10:20.09
cfbf0974	21:40:25.12	-23:10:01.61
cfbf0975	21:40:17.78	-23:10:20.93
cfbf0976	21:40:22.63	-23:11:24.15
cfbf0977	21:40:22.31	-23:11:24.99
cfbf0978	21:40:22.95	-23:11:23.31
cfbf0979	21:40:21.99	-23:11:25.83
cfbf0980	21:40:23.27	-23:11:22.47
cfbf0981	21:40:21.67	-23:11:26.67
cfbf0982	21:40:23.58	-23:11:21.63
cfbf0983	21:40:21.35	-23:11:27.51
cfbf0984	21:40:23.90	-23:11:20.79
cfbf0985	21:40:21.03	-23:11:28.35
cfbf0986	21:40:24.22	-23:11:19.95
cfbf0987	21:40:20.71	-23:11:29.19
cfbf0988	21:40:24.54	-23:11:19.11
cfbf0989	21:40:20.39	-23:11:30.03
cfbf0990	21:40:24.86	-23:11:18.27
cfbf0991	21:40:20.08	-23:11:30.87
cfbf0992	21:40:25.18	-23:11:17.43
cfbf0993	21:40:19.76	-23:11:31.71
cfbf0994	21:40:25.50	-23:11:16.59
cfbf0995	21:40:19.44	-23:11:32.55
cfbf0996	21:40:25.82	-23:11:15.75
cfbf0997	21:40:19.12	-23:11:33.39
cfbf0998	21:40:26.14	-23:11:14.91
cfbf0999	21:40:26.46	-23:11:14.07
cfbf1000	21:40:21.42	-23:10:09.23
cfbf1001	21:40:21.74	-23:10:08.39
cfbf1002	21:40:21.11	-23:10:10.07
cfbf1003	21:40:22.06	-23:10:07.55
cfbf1004	21:40:20.79	-23:10:10.91
cfbf1005	21:40:22.38	-23:10:06.71
cfbf1006	21:40:20.47	-23:10:11.75
cfbf1007	21:40:22.70	-23:10:05.87
cfbf1008	21:40:20.15	-23:10:12.59
cfbf1009	21:40:23.02	-23:10:05.03
cfbf1010	21:40:19.83	-23:10:13.43
cfbf1011	21:40:23.34	-23:10:04.19
cfbf1012	21:40:19.51	-23:10:14.27
cfbf1013	21:40:23.66	-23:10:03.35
cfbf1014	21:40:19.19	-23:10:15.11
cfbf1015	21:40:23.98	-23:10:02.51
cfbf1016	21:40:18.87	-23:10:15.95
cfbf1017	21:40:24.30	-23:10:01.67
cfbf1018	21:40:18.55	-23:10:16.79
cfbf1019	21:40:24.61	-23:10:00.83
cfbf1020	21:40:18.24	-23:10:17.63
cfbf1021	21:40:24.93	-23:10:00.00
cfbf1022	21:40:17.92	-23:10:18.47
cfbf1023	21:40:22.50	-23:11:26.61
cfbf1024	21:40:22.82	-23:11:25.77
cfbf1025	21:40:22.18	-23:11:27.45
cfbf1026	21:40:23.13	-23:11:24.93
cfbf1027	21:40:21.86	-23:11:28.29
cfbf1028	21:40:23.45	-23:11:24.09
cfbf1029	21:40:21.54	-23:11:29.13
cfbf1030	21:40:23.77	-23:11:23.25
cfbf1031	21:40:21.22	-23:11:29.97
cfbf1032	21:40:24.09	-23:11:22.41
cfbf1033	21:40:20.90	-23:11:30.81
cfbf1034	21:40:24.41	-23:11:21.57
cfbf1035	21:40:20.58	-23:11:31.65
cfbf1036	21:40:24.73	-23:11:20.73
cfbf1037	21:40:20.26	-23:11:32.49
cfbf1038	21:40:25.05	-23:11:19.89
cfbf1039	21:40:19.94	-23:11:33.33
cfbf1040	21:40:25.37	-23:11:19.04
cfbf1041	21:40:19.63	-23:11:34.17
cfbf1042	21:40:25.69	-23:11:18.20
cfbf1043	21:40:19.31	-23:11:35.01
cfbf1044	21:40:26.01	-23:11:17.36
cfbf1045	21:40:26.32	-23:11:16.52
cfbf1046	21:40:21.56	-23:10:06.78
cfbf1047	21:40:21.24	-23:10:07.62
cfbf1048	21:40:21.87	-23:10:05.94
cfbf1049	21:40:20.92	-23:10:08.46
cfbf1050	21:40:22.19	-23:10:05.10
cfbf1051	21:40:20.60	-23:10:09.30
cfbf1052	21:40:22.51	-23:10:04.26
cfbf1053	21:40:20.28	-23:10:10.14
cfbf1054	21:40:22.83	-23:10:03.42
cfbf1055	21:40:19.96	-23:10:10.98
cfbf1056	21:40:23.15	-23:10:02.58
cfbf1057	21:40:19.64	-23:10:11.82
cfbf1058	21:40:23.47	-23:10:01.74
cfbf1059	21:40:19.32	-23:10:12.66
cfbf1060	21:40:23.79	-23:10:00.90
cfbf1061	21:40:19.00	-23:10:13.50
cfbf1062	21:40:24.11	-23:10:00.06
cfbf1063	21:40:18.69	-23:10:14.33
cfbf1064	21:40:24.43	-23:09:59.21
cfbf1065	21:40:18.37	-23:10:15.17
cfbf1066	21:40:24.75	-23:09:58.37
cfbf1067	21:40:18.05	-23:10:16.01
cfbf1068	21:40:17.73	-23:10:16.85
cfbf1069	21:40:22.68	-23:11:28.22
cfbf1070	21:40:22.37	-23:11:29.06
cfbf1071	21:40:23.00	-23:11:27.38
cfbf1072	21:40:22.05	-23:11:29.90
cfbf1073	21:40:23.32	-23:11:26.54
cfbf1074	21:40:21.73	-23:11:30.74
cfbf1075	21:40:23.64	-23:11:25.70
cfbf1076	21:40:21.41	-23:11:31.58
cfbf1077	21:40:23.96	-23:11:24.86
cfbf1078	21:40:21.09	-23:11:32.42
cfbf1079	21:40:24.28	-23:11:24.02
cfbf1080	21:40:20.77	-23:11:33.26
cfbf1081	21:40:24.60	-23:11:23.18
cfbf1082	21:40:20.45	-23:11:34.10
cfbf1083	21:40:24.92	-23:11:22.34
cfbf1084	21:40:20.13	-23:11:34.94
cfbf1085	21:40:25.24	-23:11:21.50
cfbf1086	21:40:19.81	-23:11:35.78
cfbf1087	21:40:25.56	-23:11:20.66
cfbf1088	21:40:19.49	-23:11:36.62
cfbf1089	21:40:25.87	-23:11:19.82
cfbf1090	21:40:26.19	-23:11:18.98
cfbf1091	21:40:26.51	-23:11:18.14
cfbf1092	21:40:21.37	-23:10:05.16
cfbf1093	21:40:21.69	-23:10:04.32
cfbf1094	21:40:21.05	-23:10:06.00
cfbf1095	21:40:22.01	-23:10:03.48
cfbf1096	21:40:20.73	-23:10:06.84
cfbf1097	21:40:22.33	-23:10:02.64
cfbf1098	21:40:20.41	-23:10:07.68
cfbf1099	21:40:22.64	-23:10:01.80
cfbf1100	21:40:20.09	-23:10:08.52
cfbf1101	21:40:22.96	-23:10:00.96
cfbf1102	21:40:19.77	-23:10:09.36
cfbf1103	21:40:23.28	-23:10:00.12
cfbf1104	21:40:19.45	-23:10:10.20
cfbf1105	21:40:23.60	-23:09:59.28
cfbf1106	21:40:19.14	-23:10:11.04
cfbf1107	21:40:23.92	-23:09:58.44
cfbf1108	21:40:18.82	-23:10:11.88
cfbf1109	21:40:24.24	-23:09:57.60
cfbf1110	21:40:18.50	-23:10:12.72
cfbf1111	21:40:24.56	-23:09:56.76
cfbf1112	21:40:18.18	-23:10:13.56
cfbf1113	21:40:17.86	-23:10:14.40
cfbf1114	21:40:22.55	-23:11:30.68
cfbf1115	21:40:22.87	-23:11:29.84
cfbf1116	21:40:22.23	-23:11:31.52
cfbf1117	21:40:23.19	-23:11:29.00
cfbf1118	21:40:21.91	-23:11:32.36
cfbf1119	21:40:23.51	-23:11:28.16
cfbf1120	21:40:21.60	-23:11:33.20
cfbf1121	21:40:23.83	-23:11:27.32
cfbf1122	21:40:21.28	-23:11:34.04
cfbf1123	21:40:24.15	-23:11:26.48
cfbf1124	21:40:20.96	-23:11:34.88
cfbf1125	21:40:24.47	-23:11:25.64
cfbf1126	21:40:20.64	-23:11:35.72
cfbf1127	21:40:24.79	-23:11:24.80
cfbf1128	21:40:20.32	-23:11:36.56
cfbf1129	21:40:25.10	-23:11:23.96
cfbf1130	21:40:20.00	-23:11:37.40
cfbf1131	21:40:25.42	-23:11:23.12
cfbf1132	21:40:19.68	-23:11:38.24
cfbf1133	21:40:25.74	-23:11:22.28
cfbf1134	21:40:26.06	-23:11:21.44
cfbf1135	21:40:26.38	-23:11:20.60
cfbf1136	21:40:21.50	-23:10:02.70
cfbf1137	21:40:21.18	-23:10:03.54
cfbf1138	21:40:21.82	-23:10:01.86
cfbf1139	21:40:20.86	-23:10:04.38
cfbf1140	21:40:22.14	-23:10:01.02
cfbf1141	21:40:20.54	-23:10:05.22
cfbf1142	21:40:22.46	-23:10:00.18
cfbf1143	21:40:20.22	-23:10:06.06
cfbf1144	21:40:22.78	-23:09:59.34
cfbf1145	21:40:19.90	-23:10:06.90
